title,viewCount,publishedAt,duration
【お絵描き生放送】上達を目指してコツコツ！～画風探しの旅～／Live Drawing【鴨見カモミ／バーチャルアーティスト】,6019,2021-08-10T18:45:20Z,PT4H2M43S
【お絵描き】旅に出ます。探さないでいられないものがあるんだ！そう、画風！更なる上達へ往く！絵柄研究の旅だ！／Live Drawing【鴨見カモミ／バーチャルアーティスト】,9457,2021-08-08T22:09:16Z,PT6H39M37S
【夏はお絵描き】白紙から描く！あなたの心に暑中お見舞いをお届けします／Live Drawing【鴨見カモミ／バーチャルアーティスト】,7193,2021-07-28T17:34:54Z,PT3H46M29S
【プチ握手会】わちゃわちゃ！会場の様子をお届け！あのピクシブさん主催のバーチャル同人誌即売会を見にいこう！／NEOKET1.1【鴨見カモミ／バーチャルアーティスト】,5708,2021-07-27T14:19:41Z,PT1H50M3S
【お絵描き】オリジナルクロッキー帳をつくる！表紙完成させる！／Live Drawing【鴨見カモミ／バーチャルアーティスト】,8132,2021-07-24T21:42:50Z,PT6H40M1S
【生放送】得意種目はお絵描きです／Live Drawing【鴨見カモミ／バーチャルアーティスト】,6512,2021-07-23T19:44:17Z,PT3H20M18S
【お絵描きなのだ】水着描いてBANされた思い出が蘇るのでクロッキー帳制作の続きをすっぞ！／Live Drawing【鴨見カモミ／バーチャルアーティスト】,6001,2021-07-22T18:48:36Z,PT4H58M32S
【お絵描きなのだ】オリジナルクロッキー帳をつくろう！3周年のこととか話しながらまったりタイム／Live Drawing【鴨見カモミ／バーチャルアーティスト】,6001,2021-07-20T17:45:14Z,PT3H53M57S
【おしらせとカウントダウン】3周年になる瞬間をいっしょに迎えよう！わーい！！／Become 3rd Anniversary【鴨見カモミ／バーチャルアーティスト】,6335,2021-07-18T17:28:55Z,PT2H27M20S
【救援求む】★依頼内容：たすけて！頭ぽわぽわからの脱出 ★報酬：こんど元気を分けてあげる／Just Chatting【鴨見カモミ／バーチャルアーティスト】,7132,2021-07-06T16:11:32Z,PT2H44M25S
【お絵描きなのだ】3周年の準備をちょびっとだけ公開制作！何に使う絵なのかは秘密だよ！カモミは最後まで守り通せるのか？！／Live Drawing【鴨見カモミ／バーチャルアーティスト】,7905,2021-06-30T17:07:42Z,PT3H52M32S
【お絵描き】カッコいいのが描きたいんじゃ～！！塗りたくりながら近況おしゃべり／Live Drawing【鴨見カモミ／バーチャルアーティスト】,8488,2021-06-22T18:53:41Z,PT4H57M50S
【超お絵描き】ニンテンドーダイレクトまでお絵描きするべ！ところでカモミの声覚えてる？／Live Drawing【鴨見カモミ／バーチャルアーティスト】,10132,2021-06-15T17:11:43Z,PT3H47M45S
【MInecraft】マイクラ1.17がスゴいと聞いたら！データ消えてた！じゃあ最初からやるか！【鴨見カモミ／バーチャルアーティスト】,8753,2021-06-09T18:01:29Z,PT3H33M36S
【お絵描き】カモミついに他のVTuberさんのイラストを描く！今描いているのは…！？ホロライブの！？／Live Drawing【鴨見カモミ／バーチャルアーティスト】,12570,2021-06-03T19:30:17Z,PT5H36M59S
【お絵描き／Drawing】初見さん歓迎！真夜中のアトリエへようこそ！白紙から1枚絵を描くぞ～！【鴨見カモミ／バーチャルアーティスト】,9839,2021-06-01T19:46:21Z,PT3H25M12S
【いっぱい喋るお絵描き】白紙からイラスト1枚描き下ろしながら近況を話そうぜ！／Live Drawing【鴨見カモミ／バーチャルアーティスト】,8053,2021-05-13T15:57:29Z,PT3H39M24S
【お絵描き完成回！】食器×女の子イラスト！一気に2枚完成させちゃうぜ！！／Live Drawing Finish【鴨見カモミ／バーチャルアーティスト】,8154,2021-04-25T17:19:32Z,PT2H59M45S
【お絵描き】つくりたい。でっかい食器持った女の子がズラーっと並ぶアクリルフィギュアをつくりたい／Live Drawing【鴨見カモミ／バーチャルアーティスト】,7074,2021-04-23T18:32:28Z,PT3H50M55S
【勉強・作業用】気分はカフェ！一緒に作業しよう！ガッツリ捗るお絵描きライブ配信／CAMOMI'S ART CAFE【鴨見カモミ／バーチャルアーティスト】,6954,2021-04-22T17:15:03Z,PT2H53M9S
【勉強・作業用】カフェ気分でしっかり集中！お絵描きライブ配信／CAMOMI'S ART CAFE【鴨見カモミ／バーチャルアーティスト】,8829,2021-04-21T17:42:41Z,PT4H6M
【検証】「描けば出る」は本当なのか！？～in原神～ お絵描き×ガチャで推しを当てろ！／Genshin Impact【鴨見カモミ／バーチャルアーティスト】,9704,2021-04-20T13:32:44Z,PT2H4M42S
【お絵描き】描きたいものがいっぱいすぎて逆に何も描けないときない？／Live Drawing【鴨見カモミ／バーチャルアーティスト】,6591,2021-04-16T18:02:23Z,PT3H52M26S
【雑談なのだ】デビューしてから1000日経ったってさ！／Just Chatting【鴨見カモミ／バーチャルアーティスト】,5253,2021-04-13T16:30:06Z,PT2H7M24S
【お絵描き完成回！】イースターの絵ができるぞおぉぉ！サイン入れるところ見ててね／Live Drawing Finish【鴨見カモミ／バーチャルアーティスト】,6159,2021-04-04T17:15:55Z,PT3H31M20S
