title,viewCount,publishedAt,duration
【PICO PARK】#有象無象カーニバル に協調性を求めてはいけない【夕刻ロベル / Leia / 空澄セナ / 白百合リリィ / 季咲あんこ】,7342,2021-08-11T12:20:36Z,PT1H14M5S
【#島村シャルロットとお昼ご飯】毎日774inc.！？島村シャルロットとお昼ご飯！【柚原いづみ / あにまーれ】,6926,2021-08-11T04:32:43Z,PT1H24M49S
【#龍ヶ崎リンとお昼ご飯】毎日774inc.！？龍ヶ崎リンとお昼ご飯！【柚原いづみ / あにまーれ】,6810,2021-08-10T04:26:15Z,PT1H13M57S
【#堰代ミコとお昼ご飯】毎日774inc.！？堰代ミコとお昼ご飯！【柚原いづみ / あにまーれ】,7977,2021-08-09T04:15:21Z,PT1H6M57S
【#ななしいんく歌謡祭】お家で夏フェス！？いづみの歌を聞けぇええ！！！【柚原いづみ / あにまーれ】,12880,2021-08-08T08:37:32Z,PT29M48S
【ポケモンユナイト】おじじユナイト交流会！Pokémon UNITEで友達できるってマ！？【柚原いづみ / あにまーれ】,11059,2021-08-07T16:52:47Z,PT2H51M21S
【#宗谷いちかとお昼ご飯】毎日774inc.！？宗谷いちかとお昼ご飯！【柚原いづみ / あにまーれ】,9136,2021-08-07T04:15:36Z,PT1H5M
【#風見くくとお昼ご飯】毎日774inc.！？風見くくとお昼ご飯！【柚原いづみ / あにまーれ】,0,2021-08-06T22:00:29Z,P0D
【#飛良ひかりとお昼ご飯】毎日774inc.！？飛良ひかりとお昼ご飯！【柚原いづみ / あにまーれ】,0,2021-08-06T21:58:34Z,P0D
【#花奏かのんとお昼ご飯】毎日774inc.！？花奏かのんとお昼ご飯！【柚原いづみ / あにまーれ】,0,2021-08-06T21:56:47Z,P0D
【#いづみの知らない世界​】神絵師がV界のおもちゃに！？がんばれ♡伊東ライフの世界！【柚原いづみ / あにまーれ】,23450,2021-08-06T14:33:37Z,PT1H22M46S
【#獅子王クリスとお昼ご飯】毎日774inc.！？獅子王クリスとお昼ご飯！【柚原いづみ / あにまーれ】,9357,2021-08-04T04:11:59Z,PT1H4M30S
【メン限】水曜どうでしょう～夏野菜スペシャル～同時視聴【柚原いづみ / あにまーれ】,0,2021-07-31T16:06:52Z,P0D
月末のゲリラ寄りのゴリラと見せかけてカピバラ【柚原いづみ / あにまーれ】,4144,2021-07-31T14:13:20Z,PT1H4M53S
【Witch It】かくれんぼの覇者です【柚原いづみ / あにまーれ】,5851,2021-07-31T09:22:50Z,PT1H11M42S
【ポケモンユナイト】フルパでPokémon UNITE！#あにポケユナイト 再び！【日ノ隈らん / 風見くく / 白宮みみ / 大浦るかこ / 柚原いづみ】,4922,2021-07-29T04:39:06Z,PT1H27M5S
椅子で寝て腰が爆発しそうなカピバラの雑談【柚原いづみ / あにまーれ】,5156,2021-07-28T15:08:41Z,PT1H11M6S
【AmongUs / 宇宙人狼】女だらけの騙し合い！？ #ななアスコラボ【柚原いづみ / あにまーれ】,6745,2021-07-25T14:02:27Z,PT1H50M9S
【ゲリラ配信】あいー【柚原いづみ / あにまーれ】,7122,2021-07-25T04:19:19Z,PT1H3M13S
【オラと博士の夏休み / ネタバレ注意】#3 しんちゃんと過ごすエンドレス夏休み！？【柚原いづみ / あにまーれ】,2737,2021-07-24T17:14:57Z,PT2H35S
【#いづるい晩酌】夏だ！晩酌だ！ぶっちゃけ裏話しだ！？【柚原いづみ / あにまーれ】,9624,2021-07-22T16:42:49Z,PT3H12M57S
【ポケモンユナイト】謎のメンバーでPokémon UNITEに乗り込むぞぉおお！！！【ヒラ / 不磨わっと / 白宮みみ / 柚原いづみ】,3957,2021-07-21T14:49:48Z,PT1H28M31S
1ミリも伝わらない地獄のお絵かき伝言ゲーム【白雪巴 / 朝ノ瑠璃 / 夕刻ロベル / 花咲みやび / 柚原いづみ】,7368,2021-07-21T09:00:19Z,PT16M43S
【Witch It】かくれんぼあるある＞＞＞忘れられる＜＜＜【柚原いづみ / あにまーれ】,5732,2021-07-19T09:25:31Z,PT2H57S
【ベイブレードDB】泣きの追い追いラン！？ランダムブースター Vol.26開封！【柚原いづみ / あにまーれ】,5034,2021-07-18T11:05:23Z,PT59M9S
【Gartic Phone】全員画伯！？#オール画伯 でお絵かき伝言ゲームしたらこうなった【白雪巴 / 朝ノ瑠璃 / 夕刻ロベル / 花咲みやび / 柚原いづみ】,37791,2021-07-16T14:37:08Z,PT1H25M6S
【Minecraft】こんな朝早くから突然ブラマイはじめる奴おらんやろ～【柚原いづみ / あにまーれ】,4073,2021-07-12T23:51:29Z,PT2H10M19S
【Fireworks Mania】七夕🎋にみんなの願いを込めて打ち上げます🚀【柚原いづみ / あにまーれ】,3446,2021-07-07T13:51:06Z,PT40M14S
【#究極ディベート】これってアリ？ナシ？究極のディベート対決！【白宮みみ / 飛良ひかり / 柚原いづみ】,11178,2021-07-04T04:16:48Z,PT1H3M30S
生きる【柚原いづみ / あにまーれ】,7201,2021-07-02T14:12:09Z,PT1H2M8S
【Detroit: Become Human】#2 お昼なら怖くない！？ランチタイムデトロイト！【柚原いづみ / あにまーれ】,3542,2021-07-01T04:01:21Z,PT55M8S
【#いづみの知らない世界​】大型新人Vtuber！？ヒラの世界！【柚原いづみ / あにまーれ】,19670,2021-06-26T13:09:38Z,PT1H2M47S
【ポケモンユナイト】フルパでPokémon UNITEに突撃！【日ノ隈らん / 風見くく / 白宮みみ / 大浦るかこ / 柚原いづみ】,5662,2021-06-25T10:16:00Z,PT2H4M24S
【Minecraft】ミッション！担当カラーのウーパールーパーを捕獲せよ！【花奏かのん  / 季咲あんこ / 宗谷いちか / 風見くく / 柚原いづみ 】,6274,2021-06-23T12:56:53Z,PT2H33M40S
【Minecraft】ウーパールーパー繁殖を効率化！？熱帯魚トラップ作り！【柚原いづみ / あにまーれ】,8350,2021-06-22T18:16:11Z,PT4H40M22S
【#ライガーコラボ】イベントまであと2日！？ライガーチーム集会！【日ノ隈らん / 風見くく / 柚原いづみ / 羽柴なつみ / 大浦るかこ / 湖南みあ】,15021,2021-06-17T13:04:15Z,PT58M40S
新衣装お披露目からまだ一週間ってマ？てんこ盛りの振り返り！【柚原いづみ / あにまーれ】,5302,2021-06-14T14:32:37Z,PT1H23M2S
【Knockout City】ペットボトルの蓋を外して残ったリング部分が気になりつつもドッジボールがしたい柚原いづみです【柚原いづみ / あにまーれ】,4652,2021-06-11T10:10:30Z,PT1H3M27S
【Lunch time】新衣装見せびらかしながらお昼ご飯！【柚原いづみ / あにまーれ】,11799,2021-06-07T05:08:58Z,PT1H55M6S
【NKODICE】昼間からお〇ん〇ん出そうとした結果【柚原いづみ / あにまーれ】,12003,2021-06-05T15:08:30Z,PT2M
【Knockout City】狂気！？#平泉まり で一乙飲酒ドッジ！！！【ヒラ / 兎鞠まり / 柚原いづみ】,9379,2021-06-04T13:56:17Z,PT1H44M43S
練習着は体操服！？お弁当おいしすぎ問題！柚原いづみ絶叫秘話【柚原いづみ / あにまーれ】,5711,2021-06-03T14:13:47Z,PT1H4M55S
【ミートピア(Miitopia)】美術1があにまーれメンバーをキャラメイク！後編【柚原いづみ / あにまーれ】,8701,2021-05-23T07:10:14Z,PT1H58M
【マリオカート８デラックス】#マリカ雑魚大戦 ｱｱｱｱｱｱｱｱｱｱｱｱｱｱそこどいてぇえええええええ【柚原いづみ / あにまーれ】,8384,2021-05-20T13:36:40Z,PT1H7M13S
㊗あにまーれ3周年記念イベント開催決定！！！【柚原いづみ / あにまーれ】,7492,2021-05-11T11:05:51Z,PT58M31S
窓も服も全全全開で寝たら普通に風邪ひいた【柚原いづみ / あにまーれ】,4098,2021-05-10T13:34:06Z,PT30M2S
【母の日】風見くくから母の日ギフト届いたｗｗｗ【柚原いづみ / あにまーれ】,10388,2021-05-09T14:07:01Z,PT1H1M43S
ばぶ･･？ばぶ･･ｱｱｱｱｱｱｱばぶぅううううううううううう【柚原いづみ / あにまーれ】,9836,2021-05-06T14:05:52Z,PT56M51S
【#マイクラななし杯​】最終日！トライピオブランコで華やかに！【柚原いづみ / あにまーれ】,17057,2021-05-03T10:59:44Z,PT7H3M44S
【#ななしケーキ】食べる芸術！？似顔絵ホットケーキでアート対決！【因幡はねる / 白宮みみ / 飛良ひかり / 柚原いづみ】,10841,2021-05-02T07:12:02Z,PT1H43S
エアコン掃除のプロがすごい･･！！！【柚原いづみ / あにまーれ】,4172,2021-04-26T14:04:44Z,PT58M48S
【ベイブレード最新弾】DBシリーズ始動！ランブー25大量開封！！【兎鞠まり / 柚原いづみ】,9664,2021-04-25T11:10:34Z,PT1H2M51S
ベイブレードDB・ボトルマン最新弾で夜遊び♡【柚原いづみ / あにまーれ】,7617,2021-04-24T17:50:32Z,PT2H4M29S
【Stardew Valley】新シーズン！#まらいく 村に夏、到来【伊東ライフ / 兎鞠まり / 風見くく / 柚原いづみ】,19978,2021-04-24T14:46:08Z,PT1H33M44S
ベイブレードDB発売！深夜のベイブレードお片付け･･♡【柚原いづみ / あにまーれ】,9725,2021-04-23T20:13:46Z,PT4H45M28S
【星のカービィ3】ついにLEVEL5！？脳筋 VS 全肯定･･ﾌｧｲｯ！【風見くく / 柚原いづみ】,4171,2021-04-23T12:46:41Z,PT1H37M52S
【Minecraft】ウィザー討伐！スケルトンの頭でぇへんんんんｎ【島村シャルロット / 龍ヶ崎リン / 白宮みみ / 柚原いづみ】,4263,2021-04-22T12:34:43Z,PT1H27M54S
【Lunch time】今から休憩？お昼一緒してもいい？【柚原いづみ / あにまーれ】,3560,2021-04-19T04:00:33Z,PT55M48S
