title,viewCount,publishedAt,duration
【Minecraft】マイクラななし杯開始！地球をつくりたい【花奏かのん視点・周防パトラ・島村シャルロット・大浦るかこ】,3812,2021-05-01T05:17:26Z,PT2H8M39S
【DTM配信】BGMアレンジ作りながら制作秘話とかはなす！【季咲あんこオリジナル曲】,3894,2021-04-17T13:11:20Z,PT2H2M19S
【Minecraft】いよいよ建築開始、できる！？【朝クラ】,5089,2021-04-10T03:25:45Z,PT2H3M15S
実はボイチェンでした【4月1日配信】,7573,2021-04-01T12:37:06Z,PT58M39S
【レトロゲー枠】データック・ドラゴンボールZ 激闘天下一武道会【ファミコン】,4040,2021-03-30T13:21:40Z,PT1H15M53S
【雑談】一緒に見守ってほしい【花奏かのん】,3664,2021-03-20T11:40:01Z,PT1H9S
【全部俺】ヤシマ作戦BGM　エヴァ【Bataille Décisive】,14312,2021-03-14T04:04:49Z,PT2M21S
【雑談】話せないこと多すぎて擬音・ベースで会話する【エヴァ/ネタバレなし】,3999,2021-03-11T11:04:23Z,PT57M46S
【新曲でたよ】なやんでいる【花奏かのん】,4426,2021-03-02T11:04:28Z,PT59M43S
【オリジナル曲】ゆらゆら / 花奏かのん【Yura-Yura】,13180,2021-02-28T11:00:22Z,PT3M1S
【ねこの日】赤外線カメラでねこを観察する【ねこASMR】,7947,2021-02-22T13:09:20Z,PT57M50S
【Minecraft】整地おわるところ見てて【朝クラ】,5715,2021-02-20T03:14:27Z,PT1H56M17S
チョコで1/5スケール・エレキベース作る！！【告知もあるよ】,6429,2021-02-19T01:19:39Z,PT1H19M41S
【雑談】みんなの隣に並べるようになったよ【あんこちゃんレコーディング話も】,5775,2021-02-18T13:12:02Z,PT1H5M38S
"【睡眠導入】ベース生演奏&小声でおはなし！寝落ち配信【Sleep,Relax,Bass】",4963,2021-02-09T16:32:57Z,PT1H23M34S
【楽曲配信開始！】もっと楽しむ！マーブルルームうらばなし【ブイアパ】,3314,2021-02-04T13:02:11Z,PT51M23S
【DTM配信】マーブルルーム配信開始目前！カフェ風BGMアレンジつくる！,5962,2021-01-31T09:55:58Z,PT1H47M50S
【雑談】VTuber最協決定戦、ブイアパ応援する！！！！！！,7693,2021-01-24T07:55:32Z,PT50M31S
【スーパードンキーコング3】ほろよいの大人たちがはしゃぐ【木曜レトロゲー】,5583,2021-01-21T13:18:15Z,PT2H1M38S
【裏話】ためにならない！ゴリ押し映像ばなし ～氷ベース編～,3923,2021-01-19T11:16:28Z,PT1H8M35S
【切り抜き】のりとしぃぃぃ！！【スーファミ福袋開封】,2119,2021-01-18T11:32:23Z,PT3M9S
【スーパーファミコン】15本セット開封&遊ぶ！みんなスーファミやったことある？,8820,2021-01-14T14:55:41Z,PT2H41M47S
【Minecraft】ピグリン全ツッパ！確率1％を狙う！！！！【雑談マイクラ】,4042,2021-01-09T13:27:44Z,PT1H17M17S
【Vベーシスト】氷でエレキベース作ってみた【I Built a BASS Out of Ice】,49102,2021-01-08T11:01:17Z,PT5M5S
【賀正】774inc.毎年恒例の運勢チェック！ ～かまぼこアートを添えて～,5157,2021-01-02T10:08:44Z,PT1H2M41S
【IKZO】ラストダンスは求め無ェ【MAD】,10955,2020-12-30T15:04:49Z,PT3M48S
【Minecraft】雑談マイクラ！オフコラボの話とかいろいろ話しながら整地～！【花奏かのん】,4789,2020-12-30T09:20:35Z,PT2H4M49S
【作詞配信】みんなから届いたお手紙で歌詞を書く！新曲？【お手紙ありがとう】,3338,2020-12-27T14:13:05Z,PT2H5M10S
【雑談】ななしふぇす どぅーいっと！最高の時間をありがとう！スタッフるーむ,5413,2020-12-20T11:11:36Z,PT1H4M48S
【Minecraft】あんこちゃんとまったりマイクラ【季咲あんこ / 花奏かのん / ブイアパ】,3834,2020-12-17T10:26:51Z,PT1H18M49S
【ラストダンスは求め無ェ】IKZOアレンジ２！自分のオリ曲をいじりたおす【IKZOにしたい】,4942,2020-12-16T15:06:26Z,PT1H52M37S
【制作裏話】「マーブルルーム」曲・歌詞・MVとかいろいろ話す～！,7063,2020-12-15T12:42:59Z,PT1H33M47S
【雑談】12月前半のはなし！禁酒してたから浴びるほど飲む,5480,2020-12-12T12:04:32Z,PT58M47S
【ラストダンスは求め無ェ】自分のオリ曲をいじりまわす休日【IKZOミックスにしたい】,8966,2020-11-28T11:07:33Z,PT1H55M7S
【Minecraft】雑談朝クラ！埋めちゃうよ【774inc.サーバー】,5512,2020-11-28T03:20:17Z,PT2H6M55S
【バーチャルベーシスト】ベース弾く＆歌う！！音楽を止めるな2 最高だったー！！,5673,2020-11-23T12:18:22Z,PT1H12M11S
【#ななし歌謡祭でどぅーいっと】一緒につくる！ベーシストのロック歌枠！！【花奏かのん / ブイアパ】,17998,2020-11-15T11:04:27Z,PT31M27S
雑談！大喜利大会のハツコさん、スコバベ、ふぇす、話したいこといっぱい！,4351,2020-11-14T12:19:03Z,PT1H13M58S
【誕生日配信】うれしいことがいっぱい！みんなありがとう！スコバベの話もする！,5546,2020-11-11T12:41:37Z,PT1H18M36S
【オリジナル曲】スコッチバーボンベースガール / 花奏かのん【Scotch Bourbon Bass Girl】,34857,2020-11-11T11:00:13Z,PT5M20S
【誕生日カウントダウン】ほぼ雑談！先週いろいろあったお話（乱入事件とか）をしつつ誕生日を待つ！,7797,2020-11-10T15:42:03Z,PT1H6M37S
"【耐久】登録者40000人までCan't Stop(RHCP)弾く！！play bass for 40,000 subscribers with RHCP's ""Can't Stop""",26951,2020-10-31T01:38:37Z,PT11H31S
【オリジナル曲】ペンタのうた / 花奏かのん【Song Of Pentatonic】,17109,2020-10-29T10:00:12Z,PT4M14S
【ラジぶん番外編】ふぇすだー！！舞台袖にいるのは私だけではない…？【774inc フェス】,4505,2020-10-27T12:12:57Z,PT1H5M23S
【マイクラ切り抜き】山を爆破するはずがまさかの結果に…【花奏かのん / マイクラ774inc鯖】,3842,2020-10-25T10:29:49Z,PT3M1S
【Minecraft】774incスタジアムづくり再開！土曜日まったりマイクラ【774inc.サーバー】,4771,2020-10-24T10:07:10Z,PT1H54M58S
