title,viewCount,publishedAt,duration
【雑談】CRCUP振り返りつつおやすみするはなししつつ13万人むかえられたらうれしいなぁ【杏戸ゆげ / ブイアパ】,37456,2021-05-17T09:58:21Z,PT1H34M17S
【APEX LEGENDS】CRCUP本番 うるか幼稚園まゆげ組　杏戸ゆげ視点　5分遅延有【杏戸ゆげ / ブイアパ】,35192,2021-05-15T12:46:22Z,PT3H19M15S
【APEX LEGENDS】CRカスタム最終日　【杏戸ゆげ / ブイアパ】,53846,2021-05-14T22:15:43Z,PT8H10M11S
【APEX LEGENDS】ソロランクಠ_ಠ　【杏戸ゆげ / ブイアパ】,41938,2021-05-14T10:56:17Z,PT4H28M39S
【APEX LEGENDS】酒　ಠ_ಠ　【杏戸ゆげ / ブイアパ】,35224,2021-05-12T20:18:27Z,PT3H19M46S
【APEX LEGENDS】CRカスタム　作戦名フォーメーションZだけはまじでやだ【杏戸ゆげ / ブイアパ】,35848,2021-05-12T17:28:36Z,PT4H39M13S
【APEX LEGENDS】CRカスタム　うるか幼稚園まゆげ組ねんちょうさんのゆげ【杏戸ゆげ / ブイアパ】,29868,2021-05-11T15:55:46Z,PT3H28M55S
【Screencheat】敵の画面見えるチートつかう　#ミリはげコラボ【杏戸ゆげ / ブイアパ】,16609,2021-05-11T11:21:43Z,PT1H11M53S
【APEX LEGENDS】最強のジブラルタルになりたい　ಠ_ಠ　【杏戸ゆげ / ブイアパ】,28942,2021-05-10T19:25:32Z,PT2H19M11S
【APEX LEGENDS】CRカスタム　うるか幼稚園まゆげ組のいちばんえらいがっきゅういいんちょうになる【杏戸ゆげ / ブイアパ】,58818,2021-05-09T16:37:36Z,PT4H27M26S
【APEX LEGENDS】ランクしてからCRCUPカスタムラルタル【杏戸ゆげ / ブイアパ】,56608,2021-05-08T17:52:22Z,PT9H3M10S
【APEX LEGENDS】酒の呼吸　ಠ_ಠ　【杏戸ゆげ / ブイアパ】,26040,2021-05-07T22:06:14Z,PT4H58M9S
【APEX LEGENDS】レガシーが紫で、私も紫で、おそろい。【杏戸ゆげ / ブイアパ】,12049,2021-05-07T11:46:52Z,PT1H30M51S
【APEX LEGENDS】こっそりこそこそ【杏戸ゆげ / ブイアパ】,30787,2021-05-06T20:10:59Z,PT3H4M43S
【APEX LEGENDS】酔拳こらぼってこと【杏戸ゆげ / ブイアパ】,25302,2021-05-04T17:06:19Z,PT2H19M41S
【APEX LEGENDS】ぴかぴかにしたいな【杏戸ゆげ / ブイアパ】,94318,2021-05-04T04:52:09Z,PT8H31M53S
【APEX LEGENDS】CRCUPメンバー初顔合わせ～～！！【杏戸ゆげ / ブイアパ】,35891,2021-05-03T10:48:30Z,PT2H29M26S
【APEX LEGENDS】もうらんくおわってしまうよ～～【杏戸ゆげ / ブイアパ】,36974,2021-05-03T03:36:20Z,PT3H35M43S
【APEX LEGENDS】そろじゃなくなったランク【杏戸ゆげ / ブイアパ】,59457,2021-05-02T10:29:51Z,PT5H19M55S
【APEX LEGENDS】bosoboso【杏戸ゆげ / ブイアパ】,40540,2021-05-01T23:14:22Z,PT5H11M44S
【APEX LEGENDS】ちーちゃんの企画助っ人でお邪魔します！！【杏戸ゆげ / ブイアパ】,36328,2021-04-30T20:08:49Z,PT3H6S
【APEX LEGENDS】APEXにもゴールデンウィークが来る【杏戸ゆげ / ブイアパ】,11179,2021-04-30T13:10:57Z,PT1H52M5S
【切り抜き】上手にサボれました～ｗｗｗｗｗ【杏戸ゆげ / ブイアパ】,32179,2021-04-29T09:00:13Z,PT15M13S
【切り抜き】あんまりよくわからなくても4人で遊べば楽しいね【杏戸ゆげ / ブイアパ】,7146,2021-04-28T09:00:16Z,PT17M12S
【モンスターハンターライズ】あんこちゃんラスボスクリアまで弓練習しながらオトモ【杏戸ゆげ / ブイアパ】,8977,2021-04-27T15:55:49Z,PT2H3M51S
【APEX LEGENDS】酒柱【杏戸ゆげ / ブイアパ】,35670,2021-04-26T22:36:19Z,PT5H11M39S
【雑談】いろいろ予定がつまってきてうれしい【杏戸ゆげ / ブイアパ】,9276,2021-04-26T13:02:29Z,PT1H51M36S
【APEX LEGENDS】最強のジブラルタルのひと！！！【杏戸ゆげ / ブイアパ】,53782,2021-04-25T18:36:21Z,PT3H8M44S
【モンスターハンターライズ】2時間で出したおまもりで神だったほうの勝ち/因幡はねる【杏戸ゆげ / ブイアパ】,15595,2021-04-24T17:25:13Z,PT2H11M29S
【APEX LEGENDS】杏戸KAWAtakiN 武器縛りカスタム【杏戸ゆげ / ブイアパ】,20872,2021-04-23T13:45:39Z,PT2H15M29S
【モンスターハンターライズ】酒の呼吸、千鳥足狂咲は雷神に通用するのか【杏戸ゆげ / ブイアパ】,19204,2021-04-22T15:35:00Z,PT2H54M28S
【APEX LEGENDS】そろらんくするね【杏戸ゆげ / ブイアパ】,37753,2021-04-20T08:36:49Z,PT3H48M23S
【APEX LEGENDS】なんかおきちゃった【杏戸ゆげ / ブイアパ】,18280,2021-04-19T19:45:20Z,PT2H50M35S
【Dead by Daylight】なんか姫プしてもらえるらしいけど逃げていいか？【杏戸ゆげ / ブイアパ】,15947,2021-04-19T14:25:09Z,PT2H5M34S
【モンスターハンターライズ】チームのりまゆげ、狩りに出る【杏戸ゆげ / ブイアパ】,36010,2021-04-18T10:55:23Z,PT2H38M8S
【Don't Cheat On Me】浮気しないでよ。【杏戸ゆげ / ブイアパ】,9218,2021-04-17T15:12:51Z,PT1H2M54S
【APEX LEGENDS】個性的な笑い方で有名な空澄セナさんにお越しいただきました【杏戸ゆげ / ブイアパ】,32565,2021-04-16T12:44:32Z,PT2H19M41S
【APEX LEGENDS】ゆげぱからんくだいあ【杏戸ゆげ / ブイアパ】,18905,2021-04-12T16:27:41Z,PT3H6M55S
【モンスターハンターライズ】774incモンハン部ですか？【杏戸ゆげ / ブイアパ】,13914,2021-04-12T11:09:06Z,PT1H57M11S
もうすぐうたってみたあがります【杏戸ゆげ / ブイアパ】,8197,2021-04-10T08:04:13Z,PT40M49S
【うたってみた】寄り酔い／和ぬか【杏戸ゆげ/ブイアパ】,142513,2021-04-10T08:00:13Z,PT3M41S
【Detroit Become Human#6】幸せのために失われる命もあるかも～ね♪【杏戸ゆげ / ブイアパ】,7526,2021-04-09T12:29:37Z,PT2H10M6S
【モンスターハンターライズ】モンスターの名前覚えられない【杏戸ゆげ / ブイアパ】,12757,2021-04-08T13:05:10Z,PT1H54M34S
【Detroit Become Human#5】全員まとめて生かしてやるからよ【杏戸ゆげ / ブイアパ】,9897,2021-04-07T12:45:21Z,PT2H27M48S
【切り抜き】のりまゆげCHの会話よくわからないすぎる【杏戸ゆげ / ブイアパ】,33372,2021-04-07T09:15:16Z,PT10M48S
そろそろやばい。【杏戸ゆげ / ブイアパ】,25723,2021-04-06T13:03:54Z,PT2H36M56S
